区域,小区名称,户型,面积,价格(万),单价(元/平米),地址,朝向,装修,楼层,年代
高新,嘉业阳光假日一二期（高新狮山）,2室 2厅,112.0平,215万,19196元/平,珠江路121号,暂无数据,精装,高区/7层,暂无数据
高新,时代花园（高新狮山）,2室 1厅,90.08平,218万,24200元/平,何山路88号,南北,精装,中区/11层,暂无数据
高新,今日家园（高新狮山）,4室 2厅,158.0平,388万,24556元/平,何山路28号,南北,豪装,高区/11层,暂无数据
高新,嘉业阳光假日一二期（高新狮山）,3室 2厅,139.0平,290万,20863元/平,珠江路121号,南北,精装,中区/11层,暂无数据
高新,新升新苑（高新狮山）,2室 2厅,73.48平,138万,18780元/平,玉山路与珠江路交界处,南,简装,中区/6层,暂无数据
高新,名馨花园（高新狮山）,3室 2厅,107.9平,276万,25579元/平,玉山路77号,南北,精装,低区/9层,暂无数据
高新,何山花园（高新狮山）,3室 2厅,91.66平,220万,24001元/平,邓尉路288号,南,中装,中区/6层,暂无数据
高新,名都花园（高新狮山）,2室 2厅,86.35平,215万,24898元/平,何山路99号,南北,精装,高区/5层,暂无数据
高新,恒达清水园（高新狮山）,3室 2厅,134.7平,291万,21603元/平,塔园路209号,南北,中装,低区/11层,暂无数据
高新,鑫苑国际城市花园（高新枫桥）,2室 2厅,63.9平,155万,24256元/平,华山路8号,暂无数据,精装,高区/24层,暂无数据
高新,名馨花园（高新狮山）,1室 2厅,75.33平,196万,26018元/平,玉山路77号,南,精装,高区/18层,暂无数据
高新,星韵花园二期（高新横塘）,2室 1厅,71.69平,150万,20923元/平,横山路35号,南北,中装,低区/11层,暂无数据
高新,嘉业阳光假日一二期（高新狮山）,1室 1厅,50.5平,80万,15841元/平,珠江路121号,南,精装,中区/22层,暂无数据
高新,天都花园（高新狮山）,2室 2厅,118.9平,295万,24810元/平,竹园路25号,南,毛坯,高区/30层,暂无数据
高新,秀水苑（高新狮山）,2室 2厅,90.22平,230万,25493元/平,玉山路145号,南北,中装,高区/9层,暂无数据
高新,鑫苑国际城市花园（高新枫桥）,2室 2厅,64.0平,165万,25781元/平,华山路8号,南,精装,高区/18层,暂无数据
高新,金科王府三期（高新枫桥）,3室 2厅,135.95平,365万,26848元/平,枫津大街88号,南北,毛坯,中区/11层,暂无数据
高新,何山花园（高新狮山）,2室 2厅,77.69平,174万,22396元/平,邓尉路288号,南北,中装,低区/6层,暂无数据
高新,今创启园（高新狮山）,2室 2厅,91.0平,215万,23626元/平,竹园路205号,南北,精装,中区/19层,暂无数据
高新,东浜新苑南区（高新枫桥）,3室 2厅,82.5平,148万,17939元/平,华山路与塔园路交叉（华山路以南）,南,中装,高区/6层,暂无数据
高新,鑫苑国际城市花园（高新枫桥）,3室 2厅,88.59平,209万,23591元/平,华山路8号,南,毛坯,低区/18层,暂无数据
高新,何山花园（高新狮山）,3室 2厅,87.89平,218万,24803元/平,邓尉路288号,南,精装,低区/6层,暂无数据
高新,何山花园（高新狮山）,3室 2厅,92.0平,215万,23369元/平,邓尉路288号,南北,精装,中区/6层,暂无数据
高新,滨河花苑一期（高新狮山）,2室 2厅,87.86平,235万,26747元/平,邓尉路与滨河路交叉口东南角,暂无数据,中装,中区/6层,暂无数据
高新,时代花园（高新狮山）,4室 2厅,152.92平,286万,18702元/平,何山路88号,南,精装,高区/5层,暂无数据
高新,沁怡家园（高新狮山）,2室 1厅,76.34平,233万,30521元/平,玉山路18号,南,精装,低区/14层,暂无数据
高新,马浜花园南区（高新枫桥）,2室 1厅,63.0平,109万,17301元/平,塔园路与华山路交汇处西北,暂无数据,暂无数据,中区/5层,暂无数据
高新,山水华庭（高新狮山）,2室 2厅,90.07平,169万,18763元/平,长江中路99号,南北,毛坯,中区/5层,暂无数据
高新,世纪花园（高新狮山）,2室 2厅,87.0平,200万,22988元/平,玉山路与汾湖路交汇处,南北,精装,中区/6层,暂无数据
高新,嘉业阳光假日三期（高新狮山）,2室 2厅,115.0平,234万,20347元/平,珠江路121号,南北,中装,高区/22层,暂无数据
高新,天都花园（高新狮山）,3室 2厅,119.0平,310万,26050元/平,竹园路25号,南北,精装,低区/33层,暂无数据
高新,金科天籁城（高新浒墅关经济技术开发区）,3室 2厅,94.52平,145万,15340元/平,太湖大道南、建林路绿化地东（距新鹿花苑500米）,暂无数据,毛坯,高区/18层,暂无数据
高新,新创宝带熙岸（高新横塘）,2室 2厅,96.21平,194万,20164元/平,宝带西路1118号,南,精装,高区/11层,暂无数据
高新,蓝天广场（高新枫桥）,1室 1厅,49.35平,70万,14184元/平,滨河路2088号,北,精装,中区/10层,2016年建
高新,旭辉华庭（高新浒墅关经济技术开发区）,3室 2厅,90.43平,159万,17582元/平,文昌路277路,南北,毛坯,中区/21层,暂无数据
高新,理想家园（高新浒墅关经济技术开发区）,2室 2厅,92.11平,149万,16176元/平,长江路819号,南,精装,高区/24层,暂无数据
高新,湖畔佳苑（高新横塘）,2室 2厅,91.6平,184万,20087元/平,学府路189号,暂无数据,简装,中区/6层,暂无数据
高新,大地之歌（高新枫桥）,3室 2厅,145.53平,314万,21576元/平,塔园路与华山路交界处,南北,精装,中区/11层,暂无数据
高新,今创启园（高新狮山）,1室 1厅,51.5平,108万,20970元/平,竹园路205号,暂无数据,精装,高区/26层,暂无数据
